3904 マザーズ (株)カヤック（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2016-01-04","1460","1497","1439","1454","5900","727"
"2016-01-05","1440","1454","1404","1454","4900","727"
"2016-01-06","1424","1454","1407","1408","7600","704"
"2016-01-07","1405","1407","1365","1386","15900","693"
"2016-01-08","1363","1395","1340","1389","13600","694.5"
"2016-01-12","1359","1368","1309","1329","9500","664.5"
"2016-01-13","1329","1364","1329","1353","8600","676.5"
"2016-01-14","1350","1350","1262","1278","22100","639"
"2016-01-15","1253","1296","1214","1217","25800","608.5"
"2016-01-18","1150","1199","1131","1162","29700","581"
"2016-01-19","1162","1276","1100","1250","18500","625"
"2016-01-20","1216","1241","1120","1120","16700","560"
"2016-01-21","1090","1160","1047","1070","34000","535"
"2016-01-22","1160","1288","1128","1243","40500","621.5"
"2016-01-25","1333","1449","1251","1390","101400","695"
"2016-01-26","1420","1440","1350","1409","70900","704.5"
"2016-01-27","1418","1488","1390","1460","51100","730"
"2016-01-28","1430","1468","1427","1450","25400","725"
"2016-01-29","1421","1441","1353","1413","32900","706.5"
"2016-02-01","1425","1468","1425","1458","9600","729"
"2016-02-02","1440","1490","1439","1473","12800","736.5"
"2016-02-03","1415","1415","1340","1370","30600","685"
"2016-02-04","1369","1369","1287","1326","12000","663"
"2016-02-05","1280","1291","1182","1246","19600","623"
"2016-02-08","1225","1276","1215","1265","8800","632.5"
"2016-02-09","1196","1230","1150","1230","23900","615"
"2016-02-10","1200","1215","1114","1132","27900","566"
"2016-02-12","1050","1080","1020","1036","44500","518"
"2016-02-15","1199","1199","1100","1170","38600","585"
"2016-02-16","1230","1258","1160","1250","64300","625"
"2016-02-17","1262","1326","1220","1221","38700","610.5"
"2016-02-18","1243","1299","1225","1273","21500","636.5"
"2016-02-19","1243","1285","1196","1266","30200","633"
"2016-02-22","1266","1300","1259","1300","13600","650"
"2016-02-23","1307","1313","1230","1279","21800","639.5"
"2016-02-24","1249","1249","1207","1233","11700","616.5"
"2016-02-25","1207","1240","1207","1216","9200","608"
"2016-02-26","1211","1220","1150","1152","46200","576"
"2016-02-29","1144","1209","1142","1164","17500","582"
"2016-03-01","1224","1244","1172","1196","27000","598"
"2016-03-02","1206","1229","1206","1213","14100","606.5"
"2016-03-03","1212","1220","1186","1216","10600","608"
"2016-03-04","1192","1225","1192","1225","14200","612.5"
"2016-03-07","1225","1290","1225","1254","23500","627"
"2016-03-08","1247","1299","1215","1269","25000","634.5"
"2016-03-09","1282","1306","1270","1306","21700","653"
"2016-03-10","1314","1365","1314","1340","37300","670"
"2016-03-11","1310","1355","1282","1328","23000","664"
"2016-03-14","1350","1450","1350","1381","33500","690.5"
"2016-03-15","1438","1467","1405","1462","31800","731"
"2016-03-16","1462","1665","1462","1582","146000","791"
"2016-03-17","1648","1650","1501","1520","62400","760"
"2016-03-18","1500","1573","1500","1560","33400","780"
"2016-03-22","1560","1586","1539","1581","17000","790.5"
"2016-03-23","1552","1981","1551","1710","352400","855"
"2016-03-24","1670","1749","1641","1660","75900","830"
"2016-03-25","1660","1660","1518","1518","70100","759"
"2016-03-28","1505","1635","1501","1620","48200","810"
"2016-03-29","1620","1647","1590","1643","20700","821.5"
"2016-03-30","1603","1638","1578","1596","16500","798"
"2016-03-31","1590","1638","1570","1624","9700","812"
"2016-04-01","1652","1654","1500","1523","26300","761.5"
"2016-04-04","1560","1645","1486","1510","51900","755"
"2016-04-05","1486","1486","1360","1361","35900","680.5"
"2016-04-06","1350","1401","1338","1351","23900","675.5"
"2016-04-07","1352","1382","1292","1346","23300","673"
