3904 マザーズ (株)カヤック（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","615","632","596","632","40300","632"
"2019-01-07","640","663","628","653","66000","653"
"2019-01-08","650","688","646","675","57100","675"
"2019-01-09","665","675","644","647","44100","647"
"2019-01-10","646","646","615","617","51100","617"
"2019-01-11","612","628","610","626","23300","626"
"2019-01-15","620","647","613","647","48200","647"
"2019-01-16","649","686","640","678","39700","678"
"2019-01-17","684","697","670","697","36900","697"
"2019-01-18","696","724","692","712","38800","712"
"2019-01-21","725","725","692","692","28700","692"
"2019-01-22","690","690","661","677","31000","677"
"2019-01-23","667","688","656","671","20800","671"
"2019-01-24","665","697","663","692","36200","692"
"2019-01-25","687","710","681","710","23000","710"
"2019-01-28","714","720","695","699","13700","699"
"2019-01-29","691","705","675","703","18100","703"
"2019-01-30","698","702","680","683","20100","683"
"2019-01-31","685","708","676","703","23300","703"
"2019-02-01","699","712","687","692","12600","692"
"2019-02-04","693","709","676","704","19200","704"
"2019-02-05","709","710","690","703","14700","703"
"2019-02-06","708","708","692","696","9200","696"
"2019-02-07","690","697","679","680","13500","680"
"2019-02-08","678","693","651","677","15900","677"
